,,,Abobrinha,,,,,,Pedra Vermelha,,,,,
Family,Species,MFG,Deep,,,Shallow,,,Deep,,,Shallow,,
,,,Mean,s.d.,%,Mean,s.d.,%,Mean,s.d.,%,Mean,s.d.,%
Acanthuridae,Acanthurus bahianus,D,23.3,9.1,4.4,27.1,6.9,7.7,8.7,1.9,5.8,12.7,2.4,7.2
Acanthuridae,Acanthurus chirurgus,D,21.7,12.1,6.1,38.9,11.6,11,10,2.9,5.2,41.8,25.6,17.7
Acanthuridae,Acanthurus coeruleus,A,5,-,0.2,14.5,4,2,4.6,2.1,0.4,7.2,-,0.3
Sparidae,Diplodus argenteus,O,2.5,0.6,0.5,6.3,2,1.8,4.2,1.3,2.5,12.6,5.8,5.3
Kyphosidae,Kyphosus spp.,A,13.8,-,0.7,6.8,1.4,2.3,19.2,11,3.6,16.2,10.4,6.9
Labridae ,Scarus zelindae,D,6.7,2.4,0.6,2,0.1,0.2,2.8,0.8,0.7,4.1,1.3,0.4
Labridae ,Sparisoma axillare,D,4.7,-,0.2,5.1,2.6,0.5,2.9,0.1,0.3,2.1,1,0.5
Labridae ,Sparisoma frondosum,D,3.5,1.5,0.3,3.7,0.7,0.4,3.3,1.7,0.8,2,0.4,0.7
Labridae ,Sparisoma radians,D,1.9,-,0.1,-,-,0,2.7,0.6,0.8,0.7,0.3,0.1
Labridae ,Sparisoma tuiupiranga,D,2.1,0.9,0.4,2.1,0.7,0.6,0.8,0.2,0.6,0.6,0.1,0.3
Total ,,,11.1,3.4,13.6,14,2.9,25.7,5.5,0.9,21.6,11.9,3.6,40.9
,,,,,,,,,,,,,,
